"","tractfips","cnt"
"1069","20173010700",1
"1070","20177002900",1
"1071","20209042002",1
"1072","20209044703",1
"1073","21021930300",1
"1074","21021930500",1
"1075","21037053200",1
"1076","21067000102",1
"1077","21067000200",1
"1078","21067000900",2
"1079","21111004900",4
"1080","21111005900",1
"1081","21111008100",2
"1082","21111008500",1
"1083","21111009800",1
"1084","21111010701",1
"1085","22017021800",1
"1086","22017025300",1
"1087","22033003805",1
"1088","22033005200",1
"1089","22055001409",1
"1090","22071013400",1
"1091","22071013500",1
"1092","22071014200",1
"1093","22099020200",1
"1094","22103040102",1
"1095","22103040501",1
"1096","22103040605",1
"1097","22103040701",1
"1098","22103041300",1
"1099","23001010100",1
"1100","23001020700",1
"1101","23005000300",3
"1102","23005000500",3
"1103","23005000600",1
"1104","23005002102",4
"1105","23005002400",1
"1106","23005003000",1
"1107","23005004001",1
"1108","23005004002",1
"1109","23005004502",1
"1110","23005014000",1
"1111","23005017301",1
"1112","23007970101",2
"1113","23009965900",3
"1114","23009966300",1
"1115","23009966500",1
"1116","23011010700",1
"1117","23013970300",1
"1118","23013970600",1
"1119","23015975100",1
"1120","23015975400",1
"1121","23015975800",1
"1122","23017965100",1
"1123","23017965900",1
"1124","23019000200",1
"1125","23019000700",1
"1126","23019006100",1
"1127","23025965302",1
"1128","23025966700",1
"1129","23027041000",1
"1130","23027043000",2
"1131","23031005300",1
"1132","23031024500",1
"1133","23031025202",1
"1134","23031028002",2
"1135","23031034001",1
"1136","23031036001",1
"1137","23031037000",1
"1138","24003702402",1
"1139","24003702701",1
"1140","24003706101",2
"1141","24003740102",1
"1142","24005440600",1
"1143","24005980200",1
"1144","24009860701",1
"1145","24009860900",1
"1146","24013506102",1
"1147","24013507601",1
"1148","24013507703",1
"1149","24019970400",1
"1150","24021750200",1
"1151","24021750803",1
"1152","24021751003",1
"1153","24021751702",1
"1154","24021752301",1
"1155","24023000600",1
"1156","24025301202",1
"1157","24027602202",1
"1158","24027602800",1
"1159","24027606604",1
"1160","24027606707",2
"1161","24027606905",1
"1162","24031700706",1
"1163","24031700723",1
"1164","24031700901",1
"1165","24031700903",1
"1166","24031704806",1
"1167","24033800516",1
"1168","24033805908",1
"1169","24033806300",1
"1170","24041960700",1
"1171","24045000500",1
"1172","24047950000",2
"1173","24047950400",1
"1174","24047951000",1
"1175","24510030100",1
"1176","24510030200",1
"1177","24510040100",1
"1178","24510110200",1
"1179","24510120201",1
"1180","24510130804",1
"1181","24510220100",1
"1182","24510230200",1
"1183","24510260700",1
"1184","25001015300",1
"1185","25003925100",1
"1186","25003926100",1
"1187","25003935100",1
"1188","25003935200",1
"1189","25005611102",1
"1190","25005646104",1
"1191","25007200200",1
"1192","25009204300",1
"1193","25009221500",1
"1194","25009223300",1
"1195","25009260100",1
"1196","25009266300",1
"1197","25009268200",1
"1198","25011040200",1
"1199","25011040702",1
"1200","25011040900",1
"1201","25011041300",2
"1202","25013811600",1
"1203","25013812600",1
"1204","25013813701",1
"1205","25015820500",2
"1206","25015821903",1
"1207","25015822500",1
"1208","25015822606",1
"1209","25017321200",1
"1210","25017333600",1
"1211","25017342400",1
"1212","25017352400",1
"1213","25017353700",1
"1214","25017368500",1
"1215","25017373100",1
"1216","25017382500",1
"1217","25017383102",1
"1218","25017383600",2
"1219","25017388300",1
"1220","25019950100",1
"1221","25019950200",1
"1222","25021415200",1
"1223","25023500104",1
"1224","25023501102",1
"1225","25023511702",1
"1226","25023530100",1
"1227","25025010204",1
"1228","25025020303",1
"1229","25025060600",2
"1230","25025070200",1
"1231","25025100603",1
"1232","25025120301",1
"1233","25025160400",1
"1234","25027707500",1
"1235","25027708100",1
"1236","25027715100",1
"1237","25027726100",1
"1238","25027731203",1
"1239","25027740102",1
"1240","25027741101",1
"1241","25027757300",1
"1242","25027758102",1
"1243","26003000100",2
"1244","26005030800",1
"1245","26005032100",1
"1246","26007000400",1
"1247","26009960400",1
"1248","26009960600",1
"1249","26015010300",1
"1250","26015011300",1
"1251","26017286500",1
"1252","26017286600",1
"1253","26019000400",1
"1254","26021000400",1
"1255","26021011000",1
"1256","26021011100",1
"1257","26021011200",1
"1258","26021011400",1
"1259","26025004000",1
"1260","26025004100",1
"1261","26031960200",1
"1262","26033970300",1
"1263","26041970900",1
"1264","26045020202",1
"1265","26047970400",1
"1266","26047970700",1
"1267","26049012905",1
"1268","26049013202",1
"1269","26055550102",1
"1270","26055550600",1
"1271","26055550700",1
"1272","26055550900",1
"1273","26055551200",2
"1274","26055551400",2
"1275","26055551500",2
